title,author
HOW TO CATCH SANTA CLAUS,Alice Walstead.
HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton
HOW TO KNOW A PERSON,David Brooks
HUMANS,Brandon Stanton
HUSH-HUSH,Stuart Woods
I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai
I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,Eric Carle
I SANG YOU DOWN FROM THE STARS,Tasha Spillett-Sumner.
I WAS BORN FOR THIS,Alice Oseman
"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi
I WISH YOU MORE,Amy Krouse Rosenthal.
"I'M NOT SCARED, YOU'RE SCARED",Seth Meyers.
ICEBREAKER,Hannah Grace
"IMOGEN, OBVIOUSLY",Becky Albertalli
IN LOVE,Amy Bloom
IN MY HEART,Jo Witek.
INHERITANCE,Nora Roberts
IT ENDS WITH US,Colleen Hoover
IT'S BETTER THIS WAY,Debbie Macomber
JACKIE,J. Randy Taraborrelli
"JUJUTSU KAISEN, VOL. 15",Gege Akutami
"JUJUTSU KAISEN, VOL. 20",Gege Akutami
JUST MERCY,Bryan Stevenson
KAREN'S HAIRCUT,Ann M. Martin.
KEEPER OF THE LOST CITIES,Shannon Messenger
KILLERS OF THE FLOWER MOON,David Grann
KILLING THE LEGENDS,Bill O'Reilly and Martin Dugard
KILLING THE WITCHES,Bill O'Reilly and Martin Dugard
KLARA AND THE SUN,Kazuo Ishiguro
KRISTY AND THE SNOBS,Ann M. Martin.
LANDSLIDE,Michael Wolff
LESSONS FROM THE EDGE,Marie Yovanovitch
LIGHT BRINGER,Pierce Brown
LITTLE LEADERS,Vashti Harrison
LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,Vashti Harrison with Kwesi Johnson
LITTLE RED SLEIGH,Erin Guendelsberger.
LIVE WIRE,Kelly Ripa
LOOK FOR ME THERE,Luke Russert
LOVE FROM THE CRAYONS,Drew Daywalt and Oliver Jeffers
LOVE REDESIGNED,Lauren Asher
"LOVE, PAMELA",Pamela Anderson
LOVELESS,Alice Oseman
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan
"MAGNOLIA TABLE, VOL. 2",Joanna Gaines
MAID,Stephanie Land
"MAKE, SEW AND MEND",Bernadette Banner
MALIBU RISING,Taylor Jenkins Reid
MAP OF FLAMES,Lisa McMann
MARY ANNE'S BAD LUCK MYSTERY,Ann M. Martin.
MAUS I: A SURVIVOR'S TALE: MY FATHER BLEEDS HISTORY,Art Spiegelman
MEANT TO BE,Emily Giffin
MILK AND HONEY,Rupi Kaur
MISSING AND ENDANGERED,J.A. Jance
MISTY THE CLOUD,Dylan Dreyer with Alan Katz.
MODERN COMFORT FOOD,Ina Garten
MY EFFIN' LIFE,Geddy Lee with Daniel Richler
"MY HERO ACADEMIA, VOL. 1",Kohei Horikoshi
"MY HERO ACADEMIA, VOL. 30",Kohei Horikoshi
"MY HERO ACADEMIA, VOL. 33",Kohei Horikoshi
"MY HERO ACADEMIA, VOL. 35",Kohei Horikoshi
MY NAME IS BARBRA,Barbra Streisand
MYSTERIES OF THORN MANOR,Margaret Rogerson
NADIYA BAKES,Nadiya Hussain
NAMESAKE,Adrienne Young
NECESSARY TROUBLE,Drew Gilpin Faust
NEIGHBORS,Danielle Steel
NEVER GIVE AN INCH,Mike Pompeo
NIGHT OF THE WITCH,Sara Raasch and Beth Revis
NIGHTBANE,Alex Aster
NINE LIVES,Danielle Steel
NO PLAN B,Lee Child and Andrew Child
NOISE,"Daniel Kahneman, Olivier Sibony and Cass R. Sunstein"
NOMADLAND,Jessica Bruder
NORTHWIND,Gary Paulsen
NOT A HAPPY FAMILY,Shari Lapena
NOT ALL DIAMONDS AND ROSÉ,Dave Quinn
NOT QUITE NARWHAL,Jessie Sima
NOT THAT FANCY,Reba McEntire
NOWHERE FOR VERY LONG,Brianna Madia
OBSESSED,James Patterson and James O. Born
OTHER BIRDS,Sarah Addison Allen
OUT OF MY HEART,Sharon M. Draper
OUT OF MY MIND,Sharon M. Draper
OUT OF NOWHERE,Sandra Brown
OUTLIERS,Malcolm Gladwell
OVERKILL,Sandra Brown
PAINTED DEVILS,Margaret Owen
PANDORA'S JAR,Natalie Haynes
PARIS,Paris Hilton
PATH LIT BY LIGHTNING,David Maraniss
PAX,Sara Pennypacker.
"PAX, JOURNEY HOME",Sara Pennypacker.
PAYBACK IN DEATH,J.D. Robb
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
PERFECTLY PEGASUS,Jessie Sima
PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean
PETE THE CAT: THE GREAT LEPRECHAUN CHASE,James Dean
PLAYING WITH MYSELF,Randy Rainbow
PONY,R.J. Palacio
POWERLESS,Lauren Roberts
PRESS RESET,Jason Schreier
PRINCIPLES FOR DEALING WITH THE CHANGING WORLD ORDER,Ray Dalio
PROFESSIONAL TROUBLEMAKER,Luvvie Ajayi Jones
PROJECT HAIL MARY,Andy Weir
QUIETLY HOSTILE,Samantha Ir
READY PLAYER TWO,Ernest Cline
RED NOTICE,Bill Browder
"RED, WHITE AND ROYAL BLUE",Casey McQuiston
REFUGEE,Alan Gratz
REMARKABLY BRIGHT CREATURES,Shel Van Pelt
RESTART,Gordon Korman
RESURRECTION WALK,Michael Connelly
RISING TROUBLEMAKER,Luvvie Ajayi Jones
ROMANTIC COMEDY,Curtis Sittenfeld
ROMNEY,McKay Coppins
ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE,Jeff Kinney
SCARS AND STRIPES,Tim Kennedy and Nick Palmisciano
SEA OF TRANQUILITY,Emily St. John Mandel
SEARCH FOR TREASURE,Mary Alice Monroe with Angela May
SERPENT & DOVE,Shel Mahurin
"SET BOUNDARIES, FIND PEACE",Nedra Glover Tawwab
SHADOW AND BONE TRILOGY,Leigh Bardugo
SHADOW STORM,Christine Feehan
SHADOWS REEL,C.J. Box
SHATTERED,James Patterson and James O. Born
SHE'S GONE,David Bell
SHUGGIE BAIN,Douglas Stuart
SIX CRIMSON CRANES,Elizabeth Lim
SIX OF CROWS,Leigh Bardugo
SKANDAR AND THE PHANTOM RIDER,A.F. Steadman
SKANDAR AND THE UNICORN THIEF,A.F. Steadman
SKYWARD,Brandon Sanderson
SMITTEN KITCHEN KEEPERS,Deb Perelman
SO THIS IS EVER AFTER,F.T. Lukens
SOLITO,Javier Zamora
SOMEBODY FEED PHIL THE BOOK,Phil Rosenthal and Jenn Garbee
SOMEONE ELSE'S SHOES,Jojo Moyes
SOMETHING TO HIDE,Elizabeth George
"SONG OF SILVER, FLAME LIKE NIGHT",Amélie Wen Zhao
SPELL BOUND,F.T. Lukens
"SPY X FAMILY, VOL. 1",Tatsuya Endo
"SPY X FAMILY, VOL. 9",Tatsuya Endo
STACEY'S MISTAKE,Ann M. Martin.
STAMPED,Jason Reynolds and Ibram X. Kendi
STARRY MESSENGER,Neil deGrasse Tyson
"START, STAY, OR LEAVE",Trey Gowdy
STEELSTRIKER,Marie Lu
STOLEN FOCUS,Johann Hari
SUPERHEROES ARE EVERYWHERE,Kamala Harris
SURRENDER,Bono
SUSPECTS,Danielle Steel
SWEET ENOUGH,Alison Roman
TALKING TO STRANGERS,Malcolm Gladwell
TASTE,Stanley Tucci
TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria
"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle
THE  BAD GUYS: A VERY BAD HOLIDAY,Kate Howard
THE 23RD MIDNIGHT,James Patterson and Maxine Paetro
THE ABCS OF BLACK HISTORY,Rio Cortez.
THE ARMOR OF LIGHT,Ken Follett
THE ATLAS SIX,Olivie Blake
THE AUTHORITARIAN MOMENT,Ben Shapiro
THE BAD GUYS IN CUT TO THE CHASE,Aaron Blabey
THE BAD GUYS IN THEY'RE BEE-HIND YOU!,Aaron Blabey
"THE BAD SEED PRESENTS: THE GOOD, THE BAD, AND THE SPOOKY",Jory John.
THE BEAUTY OF LIVING TWICE,Sharon Stone
THE BETRAYAL OF ANNE FRANK,Rosemary Sullivan
THE BODY,Bill Bryson
THE BODY KEEPS THE SCORE,Bessel van der Kolk
THE BOMBER MAFIA,Malcolm Gladwell
THE BOOK OF BOUNDARIES,Melissa Urban
THE BOOK OF CHARLIE,David Von Drehle
THE BOOK THIEF,Markus Zusak
THE BOX IN THE WOODS,Maureen Johnson
THE BOYS,Ron Howard and Clint Howard
THE BOYS IN THE BOAT,Daniel James Brown
THE BRIGHTEST NIGHT,Tui T. Sutherland.
THE BULLET THAT MISSED,Richard Osman
THE CABINET OF DR. LENG,Douglas Preston and Lincoln Child
THE COAST-TO-COAST MURDERS,James Patterson and J.D. Barker
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids
THE CONSEQUENCES OF FEAR,Jacqueline Winspear
THE COVENANT OF WATER,Abraham Verghese
THE CRAYONS TRICK OR TREAT,Drew Daywalt.
THE CURSED CARNIVAL AND OTHER CALAMITIES,Rick Riordan. et al
THE DADDY DIARIES,Andy Cohen
THE DAUGHTER OF AUSCHWITZ,Tova Friedman and Malcolm Brabant
THE DAVENPORTS,Krystal Marquis
THE DAY THE CRAYONS QUIT,Drew Daywalt.
THE DAY YOU BEGIN,Jacqueline Woodson.
THE DEVIL'S HAND,Jack Carr
THE DIAMOND EYE,Kate Quinn
THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington
THE DUTCH HOUSE,Ann Patchett
THE EDGE,David Baldacci
THE ESCAPE ARTIST,Jonathan Freedland
THE FAMILY FIRM,Emily Oster
THE FAMILY REMAINS,Lisa Jewell
THE FEAR,Natasha Preston
THE GIFTS OF IMPERFECTION,Brené Brown
THE GLUCOSE GODDESS METHOD,Jessie Inchauspé
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen
THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John.
THE GOOD LIFE,Robert Waldinger and Marc Schulz
THE HAPPY IN A HURRY COOKBOOK,Steve and Kathy Doocy
THE HATE U GIVE,Angie Thomas
THE HEAVEN & EARTH GROCERY STORE,James McBride
THE HERO CODE,William H. McRaven
THE HOUSE ACROSS THE LAKE,Riley Sager
THE HOUSE IN THE PINES,Ana Reyes
THE HOUSE OF GUCCI,Sara G. Forden
THE HOUSE OF WOLVES,James Patterson and Mike Lupica
THE HOUSEMAID,Freida McFadden
THE HUNDRED YEARS' WAR ON PALESTINE,Rashid Khalidi
THE HUNGER GAMES,Suzanne Collins
THE IN-BETWEEN,Hadley Vlahos
THE INHERITANCE GAMES,Jennifer Lynn Barnes
THE INK BLACK HEART,Robert Galbraith
THE INN,James Patterson with Candice Fox
THE INSTITUTE,Stephen King
THE ISLAND,Natasha Preston
THE JAILHOUSE LAWYER,James Patterson and Nancy Allen
THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol
THE JOSIAH MANIFESTO,Jonathan Cahn
THE KAISER'S WEB,Steve Berry
THE KOREAN VEGAN COOKBOOK,Joanne Lee Molinaro
THE LAKE,Natasha Preston
THE LANTERN HOUSE,Erin Napier.
THE LAST CUENTISTA,Donna Barba Higuera
THE LAST DEVIL TO DIE,Richard Osman
THE LEAF THIEF,Alice Hemming.
THE LONG SLIDE,Tucker Carlson
THE LOST METAL,Brandon Sanderson
THE LOVE HYPOTHESIS,Ali Hazelwood
THE LOVE PRESCRIPTION,John Gottman and Julie Schwartz Gottman
THE LUMINARIES,Susan Dennard
THE MAKING OF ANOTHER MAJOR MOTION PICTURE MASTERPIECE,Tom Hanks
THE MARVELLERS,Dhonielle Clayton
THE MAZE,Nelson DeMille
THE MIDNIGHT LIBRARY,Matt Haig
THE MIDWIFE MURDERS,James Patterson and Richard DiLallo
THE MOTHERS AND DAUGHTERS OF THE BIBLE SPEAK,Shannon Bream
THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch
THE NOISE,James Patterson and J.D. Barker
THE NUMBERS GAME,Danielle Steel
THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY,Robb Pearlman
THE OFFICIAL FIVE NIGHTS AT FREDDY'S COOKBOOK,Scott Cawthon and Rob Morris
THE OFFICIAL HARRY POTTER COOKBOOK,Joanna Farrow
THE ONE AND ONLY BOB,Katherine Applegate.
THE ONLY SURVIVORS,Megan Miranda
THE PARIS DETECTIVE,James Patterson and Richard DiLallo
THE PASSENGER,Cormac McCarthy
THE PEGAN DIET,Mark Hyman
THE PHILOSOPHY OF MODERN SONG,Bob Dylan
THE PIGEON WILL RIDE THE ROLLER COASTER!,Mo Willems
THE PIONEER WOMAN COOKS: DINNER'S READY!,Ree Drummond
THE POWER OF REGRET,Daniel H. Pink
THE PREMONITION,Michael Lewis
THE PRESIDENT AND THE FREEDOM FIGHTER,Brian Kilmeade
THE RECKONING,Mary L. Trump
THE RECOVERY AGENT,Janet Evanovich
THE RED BOOK,James Patterson and David Ellis
THE RETURN,Nicholas Sparks
THE ROSE CODE,Kate Quinn
THE SCARLET VEIL,Shel Mahurin
THE SCHOOL FOR GOOD AND EVIL,Soman Chainani
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid
THE SHIFT,Tinx
THE SILENT PATIENT,Alex Michaelides
THE SIMPLY HAPPY COOKBOOK,Steve Doocy and Kathy Doocy
THE SMART COOKIE,Jory John.
THE SONG OF ACHILLES,Madeline Miller
THE SPIRIT BARES ITS TEETH,Andrew Joseph White
THE SPLENDID AND THE VILE,Erik Larson
THE STORIES WE TELL,Joanna Gaines
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson
THE SUM OF US,Heather McGhee
THE SUNBEARER TRIALS,Aiden Thomas
THE SURVIVORS,Jane Harper
THE TRUMP TAPES,Bob Woodward
THE TRUTHS WE HOLD,Kamala Harris
THE TWILIGHT SAGA,Stephenie Meyer
THE VANISHING HALF,Brit Bennett
THE VISCOUNT WHO LOVED ME,Julia Quinn
THE WAY I USED TO BE,Amber Smith
THE WEEKDAY VEGETARIANS,Jenny Rosenstrach
THE WHEEL OF THE YEAR,Fiona Cook.
THE WILD ROBOT,Peter Brown
THE WOKS OF LIFE,"Bill, Judy, Sarah and Kaitlin Leung"
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
THE WORLD CENTRAL KITCHEN COOKBOOK,José Andrés and World Central Kitchen with Sam Chapple-Sokol
THE WORLD NEEDS WHO YOU WERE MADE TO BE,Joanna Gaines.
THEN SHE WAS GONE,Lisa Jewell
THERE ARE MOMS WAY WORSE THAN YOU,Glenn Boozan.
THESE VIOLENT DELIGHTS,Chloe Gong
THICK AS THIEVES,Sandra Brown
"THINKING, FAST AND SLOW",Daniel Kahneman
THIS IS YOUR MIND ON PLANTS,Michael Pollan
THIS TIME TOMORROW,Emma Straub
THIS WILL NOT PASS,Jonathan Martin and Alexander Burns
THIS WOVEN KINGDOM,Tahereh Mafi
THREE LITTLE ENGINES,Bob McKinnon.
THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin
TIME IS A MOTHER,Ocean Vuong
TOM CLANCY: TARGET ACQUIRED,Don Bentley
TOM CLANCY: ZERO HOUR,Don Bentley
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin
TOUGH CUSTOMER,Sandra Brown
TREJO,Danny Trejo with Donal Logue
TRUST,Hernan Diaz
TWISTED LOVE,Ana Huang
TWO ALONE,Sandra Brown
TWO TWISTED CROWNS,Rachel Gillig
UGLY LOVE,Colleen Hoover
UNBOUND,Tarana Burke
UNDER CURRENTS,Nora Roberts
UNDER THE BANNER OF HEAVEN,Jon Krakauer
UNMASKED,Andy Ngo
UNNATURAL DEATH,Patricia Cornwell
UNSCRIPTED,James B. Stewart and Rachel Abrams
UNTAMED,Glennon Doyle
VERITY,Colleen Hoover
VINCE FLYNN: CODE RED,Kyle Mills
VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills
VIOLET MADE OF THORNS,Gina Chen
WARRIOR GIRL UNEARTHED,Angeline Boulley
WE ARE FAMILY,LeBron James and Andrea Williams
WE ARE WATER PROTECTORS,Carole Lindstrom.
WE DON'T EAT OUR CLASSMATES!,Ryan T. Higgins
WE WERE NEVER HERE,Andrea Bartz
WHAT THE ROAD SAID,Cleo Wade.
WHERE THE CRAWDADS SING,Delia Owens
WHITE FRAGILITY,Robin DiAngelo
WHY A DAUGHTER NEEDS A DAD,Gregory E. Lang.
WHY A SON NEEDS A DAD,Gregory E. Lang.
WHY A SON NEEDS A MOM,Gregory E. Lang.
WHY NOT YOU?,Ciara and Russell Wilson.
WITHOUT A TRACE,Danielle Steel
WORTHY,Jada Pinkett Smith
WOW IN THE WORLD,Mindy Thomas and Guy Raz.
Y'ALL EAT YET?,Miranda Lambert with Holly Gleason
YEARBOOK,Seth Rogen
YOU ARE YOUR BEST THING,edited  Tarana Burke and Brené Brown
YOU CAN'T JOKE ABOUT THAT,Kat Timpf
YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith
YOU WILL GET THROUGH THIS NIGHT,Daniel Howell
YOU'VE REACHED SAM,Dustin Thao
